Project,Year,Month ,Day,Latitude,Longitutude,Depth (m),Min BV,Max BV,Mean BV,MinBM,MaxBM,Mean BM
Pelagic Ecosystems of the Indian Ocean,1987,2,16,-5.995,64.505,50,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,17,-6.502,66.493,80,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,18,-7,64.503,50,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,26,-4.283,64.983,0,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,26,-4.283,64.983,30,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,26,-4.283,64.983,43,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,27,-4.283,64.983,40,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,28,-4.283,64.983,0,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,2,28,-4.283,64.983,70,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,13,0.498,86.033,60,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,14,3.973,86.01,33,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,14,3.105,85.995,55,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,14,1.358,85.998,70,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,16,4.477,89.007,70,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,16,4.477,89.007,90,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,17,3.498,90.013,45,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,20,5.533,89.64,0,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Indian Ocean,1987,3,20,5.533,89.64,38,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1982,7,28,49.833,-29.837,10,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1982,7,28,49.835,-29.307,10,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1982,8,30,32.167,-28.1,100,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1982,9,2,31.837,-27.905,0,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1982,9,13,29.167,-28.5,25,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1986,7,21,5,-17.458,5,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
Pelagic Ecosystems of the Tropical Atlantic,1986,8,25,0.003,-24.99,5,61,126,85,0.00000921969152984242,0.0000176202818993533,0.0000124265975327625
